ecotype_size,npop,omega,gene_numebr
5,3,0.00025,3
5,3,0.00020,3
5,3,0.00237,3
5,3,0.00175,3
5,3,0.00053,3
5,3,0.00029,3
5,3,0.00068,3
5,3,0.00089,3
5,3,0.00324,3
5,3,0.00054,3
5,3,0.00056,3
5,3,0.00038,3
5,3,0.00103,3
5,3,0.00073,3
5,3,0.00077,3
1,2,0.00387,3
1,2,0.00360,3
1,2,0.00269,3
5,3,0.00072,3
5,3,0.00087,3
5,3,0.00117,3
5,3,0.00182,3
5,3,0.00036,3
5,3,0.00278,3
5,3,0.00062,3
5,3,0.00088,3
1,2,0.00241,3
5,3,0.00046,3
6,4,0.00116,3
5,3,0.00069,3
5,3,0.00088,3
5,3,0.00114,3
5,3,0.00238,3
5,3,0.00054,3
5,3,0.00045,3
5,3,0.00235,3
5,3,0.00105,3
5,3,0.00038,3
1,2,0.00286,3
5,3,0.00171,3
5,3,0.00078,3
5,3,0.00196,3
5,3,0.00158,3
5,3,0.00062,3
5,3,0.00122,3
1,2,0.00222,3
5,3,0.00171,3
5,3,0.00335,3
5,3,0.00167,3
5,3,0.00076,3
5,3,0.00068,3
5,3,0.00117,3
5,3,0.00305,3
5,3,0.00064,3
5,3,0.00078,3
5,3,0.00207,3
5,3,0.00175,3
5,3,0.00059,3
5,3,0.00154,3
5,3,0.00314,3
5,3,0.00049,3
5,3,0.00262,3
5,3,0.00250,3
5,3,0.00102,3
5,3,0.00040,3
5,3,0.00099,3
5,3,0.00270,3
5,3,0.00035,3
5,3,0.00229,3
5,3,0.00075,3
5,3,0.00149,3
5,3,0.00142,3
9,5,0.00046,3
1,2,0.00280,3
5,3,0.00024,3
5,3,0.00115,3
5,3,0.00113,3
5,3,0.00094,3
1,2,0.00288,3
5,3,0.00092,3
1,2,0.00226,3
5,3,0.00114,3
5,3,0.00070,3
5,3,0.00269,3
5,3,0.00238,3
5,3,0.00165,3
5,3,0.00099,3
5,3,0.00029,3
5,3,0.00053,3
5,3,0.00052,3
5,3,0.00015,3
5,3,0.00163,3
5,3,0.00514,3
5,3,0.00144,3
5,3,0.00138,3
5,3,0.00128,3
5,3,0.00078,3
5,3,0.00131,3
5,3,0.00142,3
5,3,0.00231,3
5,3,0.00296,3
5,3,0.00072,3
5,3,0.00191,3
5,3,0.00317,3
1,2,0.00117,3
5,3,0.00054,3
5,3,0.00081,3
5,3,0.00163,3
5,3,0.00026,3
5,3,0.00045,3
1,2,0.00094,3
5,3,0.00124,3
5,3,0.00114,3
1,2,0.00234,3
5,3,0.00045,3
5,3,0.00043,3
5,3,0.00053,3
5,3,0.00142,3
5,3,0.00060,3
5,3,0.00169,3
1,2,0.00221,3
5,3,0.00067,3
5,3,0.00228,3
5,3,0.00041,3
1,2,0.01286,3
5,3,0.00114,3
6,4,0.00700,3
5,3,0.00199,3
5,3,0.00100,3
5,3,0.00194,3
5,3,0.00291,3
1,2,0.00160,3
5,3,0.00046,3
5,3,0.00146,3
5,3,0.00048,3
5,3,0.00262,3
5,3,0.00031,3
5,3,0.00030,3
1,2,0.00105,3
5,3,0.00111,3
5,3,0.00186,3
5,3,0.00188,3
5,3,0.00266,3
5,3,0.00153,3
5,3,0.00066,3
5,3,0.00023,3
5,3,0.00077,3
5,3,0.00192,3
5,3,0.00153,3
1,2,0.00206,3
5,3,0.00074,3
5,3,0.00035,3
5,3,0.00234,3
5,3,0.00085,3
5,3,0.00242,3
1,2,0.00246,3
5,3,0.00100,3
5,3,0.00184,3
5,3,0.00085,3
5,3,0.00046,3
5,3,0.00222,3
5,3,0.00181,3
5,3,0.00069,3
9,5,0.00000,3
5,3,0.00438,3
5,3,0.00147,3
5,3,0.00116,3
5,3,0.00039,3
5,3,0.00196,3
1,2,0.00151,3
5,3,0.00286,3
5,3,0.00226,3
5,3,0.00079,3
5,3,0.00064,3
5,3,0.00172,3
1,2,0.00166,3
1,2,0.00391,3
5,3,0.00077,3
5,3,0.00137,3
5,3,0.00034,3
5,3,0.00206,7
6,4,0.00096,7
5,3,0.00061,7
9,5,0.00000,7
5,3,0.00083,7
6,4,0.00099,7
6,4,0.00024,7
9,5,0.00036,7
6,4,0.00031,7
9,5,0.00000,7
5,3,0.00081,7
9,5,0.00000,7
9,5,0.00000,7
9,5,0.00000,7
5,3,0.00066,7
5,3,0.00151,7
6,4,0.00628,7
5,3,0.00042,7
5,3,0.00447,7
5,3,0.00079,7
6,4,0.00035,7
6,4,0.00025,7
5,3,0.00067,7
6,4,0.00812,7
5,3,0.00072,7
6,4,0.00550,7
5,3,0.00260,7
9,5,0.00000,7
6,4,0.00613,7
9,5,0.00000,7
6,4,0.02189,7
5,3,0.00059,7
9,5,0.00000,7
12,6,0.00028,7
1,2,0.00143,7
9,5,0.00079,7
6,4,0.00075,7
5,3,0.00096,7
6,4,0.00035,7
5,3,0.00033,7
5,3,0.00028,7
6,4,0.00707,7
5,3,0.00019,7
5,3,0.00048,7
5,3,0.00101,7
6,4,0.00073,7
6,4,0.00572,7
5,3,0.00013,7
9,5,0.00000,7
6,4,0.00111,7
5,3,0.00029,7
9,5,0.00000,7
12,6,0.00000,7
6,4,0.00023,7
6,4,0.00602,7
5,3,0.00089,7
5,3,0.00058,7
5,3,0.00455,7
6,4,0.00534,7
5,3,0.00021,7
9,5,0.00000,7
5,3,0.00248,7
6,4,0.00110,7
6,4,0.00036,7
9,5,0.00000,7
6,4,0.00754,7
9,5,0.00000,7
5,3,0.00021,7
9,5,0.00019,7
6,4,0.00015,7
5,3,0.00020,7
5,3,0.00422,7
9,5,0.00035,7
6,4,0.00195,7
9,5,0.00000,7
5,3,0.00077,7
6,4,0.00024,7
5,3,0.00020,7
6,4,0.00090,7
9,5,0.00000,7
6,4,0.00691,7
5,3,0.00113,7
6,4,0.00740,7
14,9,0.01411,7
6,4,0.00035,7
6,4,0.00551,7
9,5,0.00000,7
9,5,0.00000,7
5,3,0.00058,7
12,6,0.00000,7
9,5,0.00000,7
6,4,0.00557,7
6,4,0.00496,7
9,5,0.00015,7
6,4,0.00021,7
6,4,0.03181,7
5,3,0.00071,7
5,3,0.00019,7
9,5,0.00000,7
1,2,0.00139,7
6,4,0.00572,7
6,4,0.00095,7
5,3,0.00156,7
5,3,0.00064,7
6,4,0.00634,7
9,5,0.00000,7
5,3,0.00075,7
6,4,0.00000,7
6,4,0.00078,7
9,5,0.00000,7
5,3,0.00019,7
6,4,0.00088,7
5,3,0.00064,7
5,3,0.00392,7
5,3,0.00054,7
6,4,0.00028,7
5,3,0.00074,7
6,4,0.00034,7
9,5,0.00095,7
5,3,0.00022,7
5,3,0.00052,7
5,3,0.00029,7
6,4,0.00979,7
5,3,0.00108,7
6,4,0.00089,7
5,3,0.00095,7
5,3,0.00092,7
1,2,0.00014,7
6,4,0.00087,7
6,4,0.00000,7
5,3,0.00022,7
5,3,0.00074,7
5,3,0.00029,7
5,3,0.00451,7
5,3,0.00053,7
5,3,0.00078,7
5,3,0.00082,7
5,3,0.00043,7
9,5,0.00027,7
9,5,0.00000,7
9,5,0.00000,7
6,4,0.00075,7
6,4,0.00576,7
6,4,0.00027,7
6,4,0.00553,7
9,5,0.00000,7
5,3,0.00184,7
9,5,0.00000,7
12,6,0.00000,7
5,3,0.00042,7
5,3,0.00065,7
9,5,0.00000,7
6,4,0.00023,7
5,3,0.00246,7
6,4,0.00088,7
9,5,0.00086,7
6,4,0.00035,7
6,4,0.00021,7
9,5,0.00000,7
6,4,0.00028,7
5,3,0.00297,7
5,3,0.00230,7
5,3,0.00539,7
6,4,0.00026,7
5,3,0.00063,7
6,4,0.00567,7
9,5,0.00097,7
5,3,0.00067,7
5,3,0.00058,7
6,4,0.00580,7
5,3,0.00025,7
5,3,0.00012,7
9,5,0.00000,7
9,5,0.01363,7
5,3,0.00416,7
5,3,0.00029,7
5,3,0.00071,7
5,3,0.00069,7
6,4,0.00040,7
5,3,0.00070,7
9,5,0.00088,7
6,4,0.00091,7
9,5,0.00000,7
9,5,0.00081,7
9,5,0.00000,7
5,3,0.00250,7
5,3,0.00021,7
